poll_reading_id,poll_sample_id,source_document_id,source_locator,contest_type,contest_id,question_order_status,question_order,document_display_order,question_text_status,question_text,scenario_label,population,turnout_screen,turnout_screen_text,denominator_type,denominator_text,unweighted_base_status,unweighted_base,weighted_base_status,weighted_base,reported_base_status,reported_base,tested_choice_set_status,response_coverage,reported_share_unit,reported_share_precision,notes,reading_purpose
ipsos_nov2013_scenario1,ipsos_city_2013_11_08_12_n665,ipsos_2013-11-12_tables,physical page 10,mayoral,toronto-mayor-2014,reported,3,10,reported,"Below is a series of potential match-ups for the upcoming Toronto municipal election. For each Scenario, if there was an election tomorrow, please indicate who you would vote for to be the Mayor of the City of Toronto:",Scenario #1,Torontonians,none,,all_respondents,All Respondents,reported,665,reported,665,not_reported,,complete,complete,percent,0,One of four dependent hypothetical ballot scenarios from the same sample. Option order in responses is document row order only; it does not assert randomized presentation order. Published percentages sum to 99 due to rounding.,general_vote_intention
ipsos_nov2013_scenario2,ipsos_city_2013_11_08_12_n665,ipsos_2013-11-12_tables,physical page 11,mayoral,toronto-mayor-2014,reported,3,11,reported,"Below is a series of potential match-ups for the upcoming Toronto municipal election. For each Scenario, if there was an election tomorrow, please indicate who you would vote for to be the Mayor of the City of Toronto:",Scenario #2,Torontonians,none,,all_respondents,All Respondents,reported,665,reported,665,not_reported,,complete,complete,percent,0,One of four dependent hypothetical ballot scenarios from the same sample. Option order in responses is document row order only; it does not assert randomized presentation order.,general_vote_intention
ipsos_nov2013_scenario3,ipsos_city_2013_11_08_12_n665,ipsos_2013-11-12_tables,physical page 12,mayoral,toronto-mayor-2014,reported,3,12,reported,"Below is a series of potential match-ups for the upcoming Toronto municipal election. For each Scenario, if there was an election tomorrow, please indicate who you would vote for to be the Mayor of the City of Toronto:",Scenario #3,Torontonians,none,,all_respondents,All Respondents,reported,665,reported,665,not_reported,,complete,complete,percent,0,One of four dependent hypothetical ballot scenarios from the same sample. Option order in responses is document row order only; it does not assert randomized presentation order. Published percentages sum to 101 due to rounding.,general_vote_intention
ipsos_nov2013_scenario4,ipsos_city_2013_11_08_12_n665,ipsos_2013-11-12_tables,physical page 13,mayoral,toronto-mayor-2014,reported,3,13,reported,"Below is a series of potential match-ups for the upcoming Toronto municipal election. For each Scenario, if there was an election tomorrow, please indicate who you would vote for to be the Mayor of the City of Toronto:",Scenario #4,Torontonians,none,,all_respondents,All Respondents,reported,665,reported,665,not_reported,,complete,complete,percent,0,One of four dependent hypothetical ballot scenarios from the same sample. Option order in responses is document row order only; it does not assert randomized presentation order.,general_vote_intention
ipsos_sep16_decided,ipsos_city_2014_09_12_16_n596,ipsos_2014-09-16_tables,physical page 1,mayoral,toronto-mayor-2014,reported,1,1,reported,"If the Election for Toronto Mayor were to be held tomorrow, which of the following candidates would you vote for:",published three-candidate field,Torontonians described by the release as decided voters,none,,decided_respondents,Undecided voters were screened out,reported,596,reported,596,not_reported,,complete,complete,percent,0,"The table's base label is literally """"416 or 647"""" while the total unweighted and weighted bases are each 596; the unexplained label is preserved in this note rather than interpreted. Option order is document row order only.",general_vote_intention
ipsos_sep26_decided_leaners,ipsos_city_2014_09_23_26_n1252,ipsos_2014-09-26_table_excerpt,physical page 1; printed page 4 of 58,mayoral,toronto-mayor-2014,not_reported,,1,reported,"If the Toronto municipal election were held tomorrow, which of the following candidates would you vote for? Which way are you leaning?",published three-candidate field,Torontonians,none,,custom,Decided - Leaners,reported,1105,reported,1105,not_reported,,complete,complete,percent,1,The public artifact is only the ballot-table page; QB/QC are printed but no numeric questionnaire order is inferred. Published shares sum to 100.1 due to rounding. Option order is document row order only.,general_vote_intention
ipsos_oct23_decided_leaners,ipsos_city_2014_10_21_23_n1201,ipsos_2014-10-23_table_excerpt,physical page 2; printed page 4 of 27,mayoral,toronto-mayor-2014,not_reported,,2,not_reported,,Decided-Leaners Included,Torontonians,none,,custom,Total answering a candidate at B or C,reported,1066,reported,1048,not_reported,,unknown,complete,percent,1,The attachment omits the B and C question pages; no exact ballot wording or questionnaire order is reconstructed. The result table itself fully reports the response distribution. Published shares sum to 99.9 due to rounding. Option order is document row order only.,general_vote_intention
nanos_jul_raw,nanos_city_2014_07_02_05_n600,nanos_2014-07-05_full,physical pages 6 and 22; summary chart and stat sheet page 3,mayoral,toronto-mayor-2014,reported,3,6,reported,"If the election for Mayor of Toronto were held today, please tell me your first choice and your second choice from the following list of candidates: [ROTATE ORDER]",First Ranked Response; Excluding Leaners,Eligible voters in the City of Toronto,eligible_voters,,all_respondents,All respondents; first-ranked response excluding leaners,reported,600,reported,600,not_reported,,complete,complete,percent,1,Precise stat-sheet values are retained instead of the rounded summary chart. Option order is stat-sheet row order only; the question says response order was rotated.,general_vote_intention
nanos_jul_initially_unsure_leaning,nanos_city_2014_07_02_05_n600,nanos_2014-07-05_full,physical pages 7 and 25; summary chart and stat sheet page 6,mayoral,toronto-mayor-2014,reported,4,7,reported,Are you currently leaning toward any candidate for Mayor of Toronto?,Question 4 (undecided only),Respondents initially unsure at Question 3,eligible_voters,,custom,Respondents initially unsure at Question 3,reported,67,reported,79,not_reported,,unknown,complete,percent,1,The detailed stat sheet omits the two zero-response candidates while the summary chart publishes each as 0%; both are retained. The question asks about any candidate rather than printing a tested candidate list; tested_choice_set_status therefore remains unknown. Option order is document display order only.,conditional_lean_followup
nanos_jul_vote_profile,nanos_city_2014_07_02_05_n600,nanos_2014-07-05_full,physical page 26; stat sheet page 7,mayoral,toronto-mayor-2014,not_reported,,26,not_reported,,Vote Profile,Eligible voters in the City of Toronto,eligible_voters,,all_respondents,Vote Profile; all respondents after the leaning question,reported,600,reported,600,not_reported,,complete,complete,percent,1,"This source-labelled derived profile is dependent on Questions 3 and 4; no single combined question is printed on the cited page, so their relationship is retained here without synthesizing question text. No singular question order is asserted. Precise stat-sheet values are retained. Option order is document row order only.",general_vote_intention
nanos_jul_ballot,nanos_city_2014_07_02_05_n600,nanos_2014-07-05_full,physical pages 8 and 27; summary chart and stat sheet page 8,mayoral,toronto-mayor-2014,reported,3,8,reported,"If the election for Mayor of Toronto were held today, please tell me your first choice and your second choice from the following list of candidates: [ROTATE ORDER]",Ballot; decided voters,Eligible voters in the City of Toronto,eligible_voters,,decided_respondents,Ballot; decided voters,reported,546,reported,534,not_reported,,complete,complete,percent,1,The source labels this product Ballot and describes it as among decided voters. It does not explicitly explain the transformation from the raw first-ranked table; no further transformation is inferred. Precise stat-sheet values are retained and sum to 100.1 due to rounding.,general_vote_intention
maple_leaf_jul_all,maple_leaf_city_2014_07_28_30_n800,maple_leaf_2014-07-30_release,physical page 2; All Voters column,mayoral,toronto-mayor-2014,not_reported,,2,reported,"If an election was held today to choose a mayor of Toronto, which of the following people would you be most likely to vote for if the candidates for mayor were [RANDOMIZE]…",published five-candidate field,Toronto citizens,none,,all_respondents,All Voters,not_reported,,not_reported,,not_reported,,complete,complete,percent,0,The release reports a parent sample of 800 but does not identify a reading-level base; no base is copied by inference. Volunteered undecided; nonvoter; don't-know; and refusal responses remain separate. Published shares sum to 99 due to rounding. Option order is document row order only.,general_vote_intention
maple_leaf_jul_decided,maple_leaf_city_2014_07_28_30_n800,maple_leaf_2014-07-30_release,physical page 2; Decided column,mayoral,toronto-mayor-2014,not_reported,,2,reported,"If an election was held today to choose a mayor of Toronto, which of the following people would you be most likely to vote for if the candidates for mayor were [RANDOMIZE]…",published five-candidate field,Toronto citizens,none,,decided_respondents,Decided,not_reported,,not_reported,,not_reported,,complete,complete,percent,0,The release does not print a decided-voter base; no base is derived from the parent sample or rounded undecided share. Published shares sum to 101 due to rounding. Option order is document row order only.,general_vote_intention
