reading_id,sample_id,contest,geography,scenario,denominator_label,base_unweighted_n,base_weighted_n,base_reported_n,base_reported_as,question_text,source_pages,extraction_class,qa_status,notes
forum_city_primary,forum_city_2026_07_29_n1011,mayor,Toronto,Chow / Bradford / open other,Decided / leaning,887,888,,,If the mayoral election were held today who would you vote for? plus leaning follow-up,3,text_table_semiautomated,visually_verified,Detailed table used; release prose says Bradford 35 while table says 36
forum_city_alexander,forum_city_2026_07_29_n1011,mayor,Toronto,Chow / Bradford / Alexander / open other,Decided / leaning,889,890,,,Similar question with one additional candidate plus leaning follow-up,4,text_table_semiautomated,visually_verified,Detailed table used; release prose says other 11 while table says 10
mainstreet_feb_all,mainstreet_city_2026_02_20_22_n802,mayor,Toronto,Four named candidates,All voters,802,802,,,If the mayoral election were held today which candidate would you vote for?,3-5,text_table_semiautomated,visually_verified,Chart and detailed table duplicate the reading
mainstreet_feb_adjusted,mainstreet_city_2026_02_20_22_n802,mayor,Toronto,Four named candidates,Decided and Undecided,802,802,,,If the mayoral election were held today which candidate would you vote for?,6-8,text_table_semiautomated,visually_verified,Source does not document the transformation beyond this denominator label
mainstreet_feb_decided,mainstreet_city_2026_02_20_22_n802,mayor,Toronto,Four named candidates,Decided voters,690,690,,,If the mayoral election were held today which candidate would you vote for?,9-10,text_table_semiautomated,visually_verified,Separate denominator derived from the same parent sample
mainstreet_jun_all,mainstreet_city_2026_06_12_18_n1157,mayor,Toronto,Chow / Bradford / someone else,All respondents,1157,1157,,,How would you vote for Mayor if the election were today?,3-4,text_table_semiautomated,visually_verified,Preserves someone else separately from undecided
mainstreet_jun_leaning,mainstreet_city_2026_06_12_18_n1157,mayor,Toronto,Chow / Bradford / someone else,Undecideds asked leaning; residual undecided retained,1157,1157,,,How would you vote for Mayor if the election were today? Undecideds asked which candidate they are leaning towards,5-6,text_table_semiautomated,visually_verified,Same parent and base as raw reading but different response transformation
mainstreet_jun_decided,mainstreet_city_2026_06_12_18_n1157,mayor,Toronto,Chow / Bradford / someone else,Only undecideds removed,985,960,,,How would you vote for Mayor if the election were today? Only undecideds removed,7-8,text_table_semiautomated,visually_verified,Unweighted and weighted bases differ and must both be retained
mainstreet_jun_two_way,mainstreet_city_2026_06_12_18_n1157,mayor,Toronto,Hypothetical forced two-way Chow / Bradford,All respondents forced choice,1157,1157,,,In a hypothetical two-way race between Olivia Chow and Brad Bradford how would you vote if those were your only options?,9-10,text_table_semiautomated,visually_verified,Not interchangeable with an ordinary ballot reading
liaison_jul_tory,liaison_city_2025_07_02_06_n1000,mayor,Toronto,Including John Tory,All voters,1000,1000,,,If an election were held today for whom would you cast your vote for mayor?,5;20,sparse_text_manual,visually_verified,Table provides explicit unweighted and weighted sample rows
liaison_jul_no_tory,liaison_city_2025_07_02_06_n1000,mayor,Toronto,Without John Tory,All voters,,,,Not repeated on this table,If an election were held today for whom would you cast your vote for mayor?,6;21,sparse_text_manual,visually_verified,Same survey lineage is evident but the reading base is not printed and remains pending
liaison_aug_all,liaison_city_2026_08_04_05_n1000,mayor,Toronto,Chow / Bradford / Alexander / someone else,All voters,1000,1000,,,If a Toronto mayoral election were held today who would you vote for?,1,image_only_manual,visually_verified,Image-only PDF; source percentages sum to 101 because of rounding
liaison_aug_decided,liaison_city_2026_08_04_05_n1000,mayor,Toronto,Chow / Bradford / Alexander / someone else,Decided and leaning voters,803,804,,,If a Toronto mayoral election were held today who would you vote for? Decided voters only,2,image_only_manual,visually_verified,Subtitle says decided and leaning voters
ipsos_all,ipsos_city_2025_08_25_29_n1001,mayor,Toronto,Chow / Tory / another candidate / would not vote,All respondents,,,1001,All respondents n=1001,If you were to vote for a mayor of Toronto tomorrow who would you choose?,24,text_chart_semiautomated,visually_verified,Would not vote is not undecided and must remain a separate response type
pallas_two_named,pallas_city_2026_03_07_08_n735,mayor,Toronto,Chow / Bradford / another candidate,All voters,735,735,,,If the mayoral election were held today which candidate would you vote for?,12,text_table_semiautomated,visually_verified,Total column retained; percentages sum to 99.9 and weighted subgroup frequencies are internally impossible
pallas_with_ford,pallas_city_2026_03_07_08_n735,mayor,Toronto,Chow / Bradford / Michael Ford / another candidate,All voters,735,735,,,Similar question with different candidates: if the mayoral election were held today which candidate would you vote for?,14,text_table_semiautomated,visually_verified,Total column retained; dependent ballot scenario and weighted subgroup frequencies are internally impossible
forum_ward11_baseline,forum_ward11_2026_08_12_n449,council,Ward 11 University-Rosedale,Named current field plus open other,Decided / leaning,312,286,,,If a municipal by-election for Toronto City Council were held today in University-Rosedale who are you most likely to vote for? plus leaning follow-up,3,text_table_semiautomated,visually_verified,Question response base is smaller than parent sample
forum_ward11_layton,forum_ward11_2026_08_12_n449,council,Ward 11 University-Rosedale,Mike Layton added to field,,385,386,,,If former Councillor Mike Layton decided to return and run for the seat who would you be most likely to vote for? plus leaning follow-up,4,text_table_semiautomated,visually_verified,Dependent counterfactual reading from same parent sample; page 4 prints the leaning follow-up and bases but no denominator label
forum_ward11_mayor,forum_ward11_2026_08_12_n449,mayor,Ward 11 University-Rosedale,Chow / Bradford / Alexander / other,,414,353,,,If an election for Mayor of Toronto were held today which candidate would you be most likely to support? plus leaning follow-up,4,text_table_semiautomated,visually_verified,Ward mayoral and council readings share a parent sample and are not independent; page 4 prints the leaning follow-up and bases but no denominator label
nanos_sep_all,nanos_city_2014_09_16_20_n1000,mayor,Toronto,Chow / Doug Ford / Tory,First-ranked including unsure,,,1000,Total responses,If the election for Mayor of Toronto were held today please tell me your first choice and your second choice from the list; first-ranked response,4;17,text_table_semiautomated,visually_verified,Precise stat-sheet percentages used rather than rounded summary chart
nanos_sep_decided,nanos_city_2014_09_16_20_n1000,mayor,Toronto,Chow / Doug Ford / Tory,Decided voters only,,,925,Total responses,Ballot decided voters only; first-ranked response,5;19,text_table_semiautomated,visually_verified,Source summary rounds these values to whole percentages
viewpoints_jun19_raw,viewpoints_city_2023_06_15_19_n1007,mayor,Toronto,Seven named candidates plus someone else,Raw vote,,,1007,Base in weighted marginals table,Who do you plan to vote for as Toronto's Mayor in this by-election?,1,text_table_semiautomated,visually_verified,Only June 19 column extracted; June 2 and May 2 columns are different parent samples
viewpoints_jun19_leaning,viewpoints_city_2023_06_15_19_n1007,mayor,Toronto,Seven named candidates plus someone else,Decided plus leaning vote,,,881,Base in weighted marginals table,Who do you plan to vote for as Toronto's Mayor in this by-election? Decided plus leaning vote,1,text_table_semiautomated,visually_verified,Nested leaning question has base 181; final decided-plus-leaning base is 881 and percentages sum to 101
viewpoints_may2_raw,viewpoints_city_2023_04_29_05_02_n400,mayor,Toronto,Six named candidates plus someone else,Raw vote,,,400,Base in weighted marginals table,Who do you plan to vote for as Toronto's Mayor in this by-election?,1,text_table_semiautomated,visually_verified,Source values sum to 100.2 because of rounding; Not sure remains separate from Someone else
viewpoints_may2_decided,viewpoints_city_2023_04_29_05_02_n400,mayor,Toronto,Six named candidates plus someone else,Decided vote,,,264,Base in weighted marginals table,Who do you plan to vote for as Toronto's Mayor in this by-election? Decided vote,1,text_table_semiautomated,visually_verified,Source values sum to 101 because of rounding
